Date,Librarians,Officials and administrators,Instruction coordinators,Guidance counselors,Principals and assistant principals,Instructional aides,Support staff,Teachers
1949-50 ,,1.8,0.8,,3.3,,23.8,70.3
1959-60 ,0.8,1.4,0.7,0.7,3,,28.6,64.8
1969-70 ,1.3,1,0.9,1.5,2.7,1.7,30.9,60
Fall 1980,1.2,1.4,0.5,1.5,2.6,7.8,32.6,52.4
Fall 1990 ,1.1,,,1.8,2.8,8.8,30.4,53.4
Fall 2000 ,1,1,0.7,1.7,2.5,11.2,30.4,51.5
Fall 2002,0.9,1.1,0.8,1.7,2.8,11.1,30.7,51
Fall 2003,0.9,1.1,0.7,1.7,2.8,11.5,30.1,51.2
Fall 2004,0.9,1.1,0.8,1.7,2.7,11.7,30.1,51
Fall 2005,0.9,1,1,1.7,2.6,11.3,30.3,51.3
Fall 2006,0.9,0.9,1.1,1.7,2.5,11.5,30,51.5
Fall 2007,0.9,1,1.1,1.7,2.5,11.5,30,51.3
Fall 2008,0.9,1,1.2,1.7,2.5,11.6,30.2,50.9
Fall 2009,0.8,1,1.2,1.7,2.7,11.7,30.4,50.5
Fall 2010,0.8,1,1.1,1.7,2.7,11.8,30.8,50
Fall 2011,0.8,1,1.1,1.7,2.7,11.6,30.5,50.6
Fall 2012,0.8,1.1,1.1,1.7,2.7,11.8,30.5,50.3
Fall 2013,0.7,1.1,1.2,1.6,2.7,11.9,30.4,50.3
Fall 2014,0.7,1.1,1.3,1.7,2.8,12,30.4,50
Fall 2015,0.7,1.1,1.4,1.7,2.9,12,30.9,49.4
Fall 2016,0.7,1.1,1.4,1.7,2.8,12.1,31.3,48.9
Fall 2017,0.7,1.1,1.5,1.8,2.9,12.6,31.1,48.4
Fall 2018,0.6,1.1,1.5,1.8,3,12.6,31,48.3
Fall 2019,0.6,1.2,1.6,1.8,2.9,13.2,30.9,47.9
